'Dak', 1, 'Cowboys', 'RB', 7, 1915, 1030886
'Antonio', 84, 'Steelers', 'QB', 5, 1228, 1015667
'Carson', 85, 'Eagles', 'RB', 4, 1658, 929150
'Dak', 86, 'Cowboys', 'WR', 2, 2269, 889224
'Todd', 87, 'Rams', 'QB', 0, 84, 154081
'Odell', 88, 'Giants', 'RB', 2, 3850, 911972
'Antonio', 89, 'Steelers', 'WR', 2, 4299, 1005385
'Carson', 90, 'Eagles', 'QB', 8, 713, 706042
'Dak', 91, 'Cowboys', 'RB', 4, 2590, 356190
'Todd', 92, 'Rams', 'WR', 9, 4336, 208581
'Odell', 93, 'Giants', 'QB', 4, 3004, 471155
'Antonio', 94, 'Steelers', 'RB', 3, 1776, 714769
'Carson', 95, 'Eagles', 'WR', 0, 3142, 347255
'Dak', 96, 'Cowboys', 'QB', 3, 3205, 545884
'Todd', 97, 'Rams', 'RB', 4, 613, 779567
'Odell', 98, 'Giants', 'WR', 6, 4259, 362754
'Antonio', 99, 'Steelers', 'QB', 2, 3506, 928202
'Carson', 100, 'Eagles', 'RB', 2, 868, 1002021
