1, '2016-12-23', 'AT&T Stadium', 'W', 99958, 9995800
59, '2016-11-24', 'Heinz Field', 'W', 77814, 7781400
60, '2016-12-18', 'Lincoln Financial Field', 'W', 65775, 6577500
61, '2018-12-21', 'AT&T Stadium', 'W', 60294, 6029400
62, '2018-9-6', 'LA Memorial Coliseum', 'L', 95691, 9569100
63, '2017-11-14', 'Metlife Stadium', 'W', 50925, 5092500
64, '2017-8-19', 'Heinz Field', 'L', 86836, 8683600
65, '2018-8-11', 'Lincoln Financial Field', 'W', 128130, 12813000
66, '2016-9-22', 'AT&T Stadium', 'L', 139685, 13968500
67, '2017-11-25', 'LA Memorial Coliseum', 'L', 69805, 6980500
68, '2017-11-24', 'Metlife Stadium', 'L', 89006, 8900600
69, '2016-12-20', 'Heinz Field', 'W', 130967, 13096700
70, '2018-11-28', 'Lincoln Financial Field', 'W', 113981, 11398100
71, '2017-8-27', 'AT&T Stadium', 'L', 117770, 11777000
72, '2016-9-13', 'LA Memorial Coliseum', 'W', 95196, 9519600
73, '2017-9-21', 'Metlife Stadium', 'W', 134172, 13417200
74, '2018-12-11', 'Heinz Field', 'L', 120072, 12007200
75, '2017-8-24', 'Lincoln Financial Field', 'L', 116950, 11695000
76, '2016-11-15', 'AT&T Stadium', 'L', 107522, 10752200
77, '2016-12-13', 'LA Memorial Coliseum', 'L', 121232, 12123200
78, '2017-12-4', 'Metlife Stadium', 'W', 95486, 9548600
79, '2018-11-20', 'Heinz Field', 'W', 129262, 12926200
80, '2016-9-29', 'Lincoln Financial Field', 'L', 58324, 5832400
81, '2017-10-25', 'AT&T Stadium', 'L', 85821, 8582100
82, '2018-8-28', 'LA Memorial Coliseum', 'L', 61776, 6177600
83, '2016-11-12', 'Metlife Stadium', 'L', 64653, 6465300
84, '2018-10-10', 'Heinz Field', 'W', 112806, 11280600
85, '2017-8-25', 'Lincoln Financial Field', 'W', 65334, 6533400
86, '2017-9-7', 'AT&T Stadium', 'W', 102715, 10271500
87, '2016-9-10', 'LA Memorial Coliseum', 'L', 102506, 10250600
88, '2016-9-5', 'Metlife Stadium', 'L', 66539, 6653900
89, '2016-11-30', 'Heinz Field', 'L', 105081, 10508100
90, '2017-11-30', 'Lincoln Financial Field', 'W', 78067, 7806700
91, '2018-11-8', 'AT&T Stadium', 'L', 146532, 14653200
92, '2018-9-16', 'LA Memorial Coliseum', 'W', 140179, 14017900
93, '2018-12-1', 'Metlife Stadium', 'L', 123813, 12381300
94, '2016-12-12', 'Heinz Field', 'L', 104603, 10460300
95, '2018-11-3', 'Lincoln Financial Field', 'L', 147487, 14748700
96, '2018-9-16', 'AT&T Stadium', 'W', 88722, 8872200
97, '2017-9-28', 'LA Memorial Coliseum', 'W', 149134, 14913400
98, '2016-9-26', 'Metlife Stadium', 'L', 149708, 14970800
99, '2016-12-13', 'Heinz Field', 'L', 137483, 13748300
100, '2017-12-18', 'Lincoln Financial Field', 'L', 92587, 9258700
